twitter14,IRS14,IRS14exempt
16,676,1379
16,696,1501
16,619,972
16,327,531
16,342,605
16,0,0
16,346,449
16,290,519
16,129,180
16,119,174
16,170,286
16,184,230
16,114,144
16,187,334
16,459,876
16,248,392
16,62,91
16,155,249
16,252,537
16,242,407
16,270,530
16,888,1855
16,384,515
16,570,1147
16,824,1665
16,340,550
16,726,1368
16,1323,2337
16,1404,2613
16,323,625
16,56,86
16,121,148
16,195,278
16,305,471
16,797,1623
16,382,578
16,826,1495
16,1042,2315
16,1095,2350
16,1084,2054
16,311,586
15,137,257
15,501,1167
15,148,244
15,191,269
15,444,831
15,162,256
15,83,127
15,235,400
15,444,721
15,381,513
15,125,150
15,828,1688
15,720,1442
15,47,78
15,78,127
15,151,220
15,193,309
15,116,190
15,110,132
15,168,224
15,126,193
15,763,1465
15,378,595
15,195,349
15,194,316
15,82,99
15,387,868
15,159,300
15,801,1326
15,208,358
15,99,126
15,223,374
15,236,450
15,520,990
15,940,1736
15,146,223
15,408,712
15,443,857
15,859,1533
15,307,579
15,85,118
15,621,1102
15,211,286
15,294,468
15,478,840
15,520,963
15,0,0
15,261,478
15,107,186
15,125,173
15,278,551
15,639,1219
15,59,109
15,339,501
15,211,415
15,146,184
15,157,226
15,173,370
15,655,1426
15,354,571
15,186,292
15,467,716
15,429,887
15,767,1332
15,771,1696
15,96,130
15,330,476
15,1075,2034
15,689,1342
15,649,1090
15,449,886
15,128,201
15,189,289
15,1176,2256
15,371,556
15,19,35
15,72,119
15,105,185
15,467,768
15,616,1138
15,800,1786
15,160,258
15,248,391
15,747,1684
15,1334,3666
15,478,800
15,393,705
15,0,0
15,391,807
15,396,801
15,190,311
15,63,90
15,44,61
15,161,238
15,1103,2500
15,796,1256
15,638,1172
15,155,210
15,853,1231
15,0,0
15,840,1525
15,185,262
15,1060,2092
15,528,880
15,538,1030
15,745,1413
15,57,95
15,105,199
15,130,217
15,304,371
15,165,272
15,148,234
15,1038,1988
15,161,278
15,386,1059
15,495,857
15,275,540
15,147,228
15,167,202
15,560,931
15,339,490
15,240,347
15,692,1483
15,288,547
15,683,1292
15,482,890
15,215,271
15,254,386
15,272,538
15,447,850
15,987,2647
15,608,1299
15,141,155
15,870,1900
14,161,252
14,382,732
14,48,70
14,378,828
14,177,321
14,194,329
14,611,1156
14,235,392
14,175,278
14,115,167
14,460,836
14,132,252
14,129,166
14,354,625
14,327,816
14,1185,2311
14,920,1815
14,254,499
14,158,294
14,520,889
14,102,122
14,127,200
14,646,1402
14,686,1486
14,195,301
14,361,609
14,44,71
14,121,154
14,147,223
14,112,167
14,751,1658
14,1198,2444
14,21,35
14,158,265
14,119,152
14,192,252
14,289,503
14,362,679
14,229,372
14,249,379
14,200,345
14,188,276
14,96,144
14,2271,3805
14,157,251
14,99,166
14,318,539
14,440,903
14,473,1022
14,300,589
14,1567,3073
14,490,809
14,240,342
14,649,1520
14,452,869
14,1101,1835
14,120,181
14,800,1360
14,251,352
14,278,501
14,468,941
14,62,111
14,112,154
14,90,109
14,119,156
14,35,65
14,349,613
14,253,446
14,215,362
14,214,357
14,1473,3182
14,38,51
14,36,54
14,302,512
14,90,146
14,197,287
14,163,315
14,293,487
14,93,157
14,720,1257
14,533,978
14,171,301
14,88,154
14,416,668
14,668,1416
14,707,1368
14,253,386
14,112,134
14,206,293
14,114,187
14,525,1110
14,1253,2379
14,930,2046
14,189,319
14,62,108
14,80,109
14,616,1095
14,381,675
14,180,317
14,47,71
14,60,82
14,388,658
14,369,578
14,122,161
14,265,463
14,334,659
14,647,1452
14,109,161
14,76,100
14,166,290
14,111,186
14,488,997
14,284,487
14,347,724
14,29,45
14,189,265
14,229,457
14,422,749
14,52,77
14,207,367
14,118,212
14,83,158
14,306,539
14,350,774
14,164,225
14,392,663
14,218,341
14,157,232
14,454,863
14,71,95
14,211,381
14,0,0
14,134,195
14,289,484
14,148,227
14,44,67
14,1706,2417
14,563,1060
14,751,1228
14,350,686
14,402,639
14,429,732
14,224,326
14,1123,1886
14,1064,2126
14,217,338
14,569,1143
14,29,44
14,153,273
14,68,120
14,430,837
14,530,1122
14,184,318
13,904,2288
